SEQ,SEX,RK,YR,DG,YD,SL
1,0,3,25,1,35,36350
2,0,3,13,1,22,35350
3,0,3,10,1,23,28200
4,1,3,7,1,27,26775
5,0,3,19,0,30,33696
6,0,3,16,1,21,28516
7,1,3,0,0,32,24900
8,0,3,16,1,18,31909
9,0,3,13,0,30,31850
10,0,3,13,0,31,32850
11,0,3,12,1,22,27025
12,0,2,15,1,19,24750
13,0,3,9,1,17,28200
14,0,2,9,0,27,23712
15,0,3,9,1,24,25748
16,0,3,7,1,15,29342
17,0,3,13,1,20,31114
18,0,2,11,0,14,24742
19,0,2,10,0,15,22906
20,0,3,6,0,21,24450
21,0,1,16,0,23,19175
22,0,2,8,0,31,20525
23,0,3,7,1,13,27959
24,1,3,8,1,24,38045
25,0,2,9,1,12,24832
26,0,3,5,1,18,25400
27,0,2,11,1,14,24800
28,1,3,5,1,16,25500
29,0,2,3,0,7,26182
30,0,2,3,0,17,23725
31,1,1,10,0,15,21600
32,0,2,11,0,31,23300
33,0,1,9,0,14,23713
34,1,2,4,0,33,20690
35,1,2,6,0,29,22450
36,0,2,1,1,9,20850
37,1,1,8,1,14,18304
38,0,1,4,1,4,17095
39,0,1,4,1,5,16700
40,0,1,4,1,4,17600
41,0,1,3,1,4,18075
42,0,1,3,0,11,18000
43,0,2,0,1,7,20999
44,1,1,3,1,3,17250
45,0,1,2,1,3,16500
46,0,1,2,1,1,16094
47,1,1,2,1,6,16150
48,1,1,2,1,2,15350
49,0,1,1,1,1,16244
50,1,1,1,1,1,16686
51,1,1,1,1,1,15000
52,1,1,0,1,2,20300
